Название вакансии	Название компании	Город	Зарплата	Опыт работы	Описание	Требования	Тип занятости	Ключевые навыки	Источник
Lead Data Scientist	Rubbles	Москва	470 000 руб.	более 6 лет	Компания Rubbles разрабатывает аналитические решения для крупных компаний в различных областях индустрии. У нас уже большой опыт на рынке (среди наших клиентов: Сбербанк, Пятёрочка, KFC, Перекрёсток, Альфа Банк, МВидео, Unilever и др.), тем не менее мы продолжаем активно развиваться и ставим перед собой амбициозные задачи, и именно поэтому мы ищем человека в нашу команду товарной аналитики на вакансию Lead Data Scientist. Команда занимается реализацией проектов для решения следующего скоупа задач: Также мы занимаемся интеграцией собственного решения в данной области. В связи с расширением объемов работ, нам необходим специалист, который сможет занять лидирующую роль на ряде проектов и обеспечить их корректную реализацию в поставленный срок. Что нужно будет делать: Наши ожидания по техническим навыкам кандидата: Кроме того, для позиции Lead DS ожидаем: У нас: Особенно актуальное:	Полная занятость	полный день	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Big Data</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Data Science</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Machine Learning</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Python</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">ML</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Машинное обучение</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Высокие коммуникативные навыки</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Управление командой</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Scikit-learn</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Kafka</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Pandas</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">CI/CD</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Алгоритмы</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Лидерство</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Kubernetes</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Airflow</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Коммуникабельность</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Управленческие навыки</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Мотивация персонала</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Организаторские навыки</span></div></div>"	https://rabota1000.ru/vacancy/65470905
Data scientist / Специалист по нейросетям	АНТРАКС, МНПП	Ивантеевка	Договорная	1–3 года	В связи с ростом числа задач с применением искусственного интеллекта, наша компания ищет специалиста по нейросетям. Data scientist участвует в создания архитектуры проекта и вывода проекта в продакшн. В сопроводительном письме укажите пожалуйста тип проекта, в котором принимали участие, роль в нём, а также краткий перечень решаемых задач. Обязанности: Требования: Будет плюсом, если есть:	Полная занятость	полный день	Не указано	https://rabota1000.ru/vacancy/116103504
Инженер / Data Scientist (AI)	Magora Systems	Санкт-Петербург	Договорная	3–6 лет	Magora Systems — международная IT-компания. Мы разрабатываем программное обеспечение, мобильные приложения и веб-сервисы. Мы работаем с 2010 года и выросли до компании с офисами в Новосибирске, Санкт-Петербурге и Лондоне. Приглашаем в команду проекта Инженера / Data Scientist (AI) Что нужно будет делать? Наши ожидания: Со своей стороны мы предлагаем:	Полная занятость	удаленная работа	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Разработка ПО</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Искусственный интеллект</span></div></div>"	https://rabota1000.ru/vacancy/115353992
Программист Python/Data Scientist (junior / middle)	Апэрбот	Новосибирск	80 000 – 170 000 руб.	1–3 года	Программист Python/Data Scientist (junior / middle уровень) DreamDocs.ru (ранее ApRbot) помогает компании автоматизировать обработку документов с помощью искусственного интеллекта. После демо нашего продукта клиенты говорят «круто!», «очень интересно!», «мы не знали, что технологии до этого уже дошли». Мы победители акселератора Яндекса и участники акселератора Sber Startup 500. Среди наших клиентов: банки, страховые компании, лизинговые и строительные компании, в т.ч. Сбер, ВТБ, Почта России, ДИТ Москвы, Совкомбанк, Балтийский лизинг, Красцветмет и многие другие.   Обязанности:   Мы ожидаем, что ты:   Мы оценим, если ты:   Что мы предлагаем:	Полная занятость	полный день	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Python</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Django Framework</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">SQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">XML</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">MS SQL</span></div></div>"	https://rabota1000.ru/vacancy/113225432
Data Scientist в Риски	Тинькофф	Москва	Договорная	1–3 года	Ищем Data Scientist (Риск-аналитика) в отдел разработки кредитных моделей. Мы строим скоринговые модели, ищем зависимости в данных, глубоко погружаемся в методологию, используем математическую статистику и ML для улучшения качества прогнозов. Обязанности Требования Мы предлагаем словами и договариваться с коллегами Тинькофф это: Атмосфера профессионализма В Тинькофф создали атмосферу, в которой хочется работать. Тебя будут окружать опытные коллеги, у которых есть чему научиться Технологии будущего Тинькофф задает тренды. Мы внедряем самые современные технологии и постоянно движемся вперед Большие возможности Обучение и карьерный рост — в нашей ДНК. Мы поддержим тебя, если ты захочешь расти	Полная занятость	полный день	Не указано	https://rabota1000.ru/vacancy/104079757
Data scientist (кредитный скоринг)	билайн	Москва	Договорная	1–3 года	В команду скоринга Beeline Business ищем Data Scientist способного не только решать поставленные задачи, но и привносить в продукт новые идеи. В нашей команде вы будете работать под руководством ментора, получать четко сформулированные задачи и почти безграничные возможности для реализации своего таланта, а вместе с ними профессиональный и карьерный рост. Итак, тебе предстоит: Мы будем рады рассмотреть твою кандидатуру, если у тебя есть:??????? Будет супер, если при тебе также имеются: ·	Полная занятость	полный день	Не указано	https://rabota1000.ru/vacancy/101405084
Data Scientist	Emphasoft	Санкт-Петербург	Договорная	3–6 лет	Компания Emphasoft специализируется на индивидуальной разработке информационных технологических решений для наших партнеров из западного и российского бизнес-секторов. Мы фокусируемся на создании веб-приложений для стартапов на разных этапах их развития. В данный момент мы активно ищем опытного Data Scientist для участия в проекте, связанном с анализом данных и разработкой модели машинного обучения. Этот проект направлен на прогнозирование цен на удобрения и реализуется для ведущей компании в области минерально-химической промышленности, которая занимает высшее место в данной сфере. Чем предстоит заниматься: Что мы ждем от тебя: Мы предлагаем:	Полная занятость	удаленная работа	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">machining learning</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">ML</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Python</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">matplotlib</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">pandas</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">seaborn</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">numpy</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">scipy</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Английский — B1 — Средний</span></div></div>"	https://rabota1000.ru/vacancy/101825668
Data scientist / Специалист по нейросетям	АНТРАКС, МНПП	Сергиев	Договорная	1–3 года	В связи с ростом числа задач с применением искусственного интеллекта, наша компания ищет специалиста по нейросетям. Data scientist участвует в создания архитектуры проекта и вывода проекта в продакшн. В сопроводительном письме укажите пожалуйста тип проекта, в котором принимали участие, роль в нём, а также краткий перечень решаемых задач. Обязанности: Требования: Будет плюсом, если есть:	Полная занятость	полный день	Не указано	https://rabota1000.ru/vacancy/116103509
Data scientist / Специалист по нейросетям	АНТРАКС, МНПП	Пушкино	Договорная	1–3 года	В связи с ростом числа задач с применением искусственного интеллекта, наша компания ищет специалиста по нейросетям. Data scientist участвует в создания архитектуры проекта и вывода проекта в продакшн. В сопроводительном письме укажите пожалуйста тип проекта, в котором принимали участие, роль в нём, а также краткий перечень решаемых задач. Обязанности: Требования: Будет плюсом, если есть:	Полная занятость	полный день	Не указано	https://rabota1000.ru/vacancy/116103508
Data scientist / Специалист по нейросетям	АНТРАКС, МНПП	Черноголовка	Договорная	1–3 года	В связи с ростом числа задач с применением искусственного интеллекта, наша компания ищет специалиста по нейросетям. Data scientist участвует в создания архитектуры проекта и вывода проекта в продакшн. В сопроводительном письме укажите пожалуйста тип проекта, в котором принимали участие, роль в нём, а также краткий перечень решаемых задач. Обязанности: Требования: Будет плюсом, если есть:	Полная занятость	полный день	Не указано	https://rabota1000.ru/vacancy/116103506
Data scientist / Специалист по нейросетям	АНТРАКС, МНПП	Мытищи	Договорная	1–3 года	В связи с ростом числа задач с применением искусственного интеллекта, наша компания ищет специалиста по нейросетям. Data scientist участвует в создания архитектуры проекта и вывода проекта в продакшн. В сопроводительном письме укажите пожалуйста тип проекта, в котором принимали участие, роль в нём, а также краткий перечень решаемых задач. Обязанности: Требования: Будет плюсом, если есть:	Полная занятость	полный день	Не указано	https://rabota1000.ru/vacancy/116103507
Data scientist (кредитный скоринг)	билайн	Москва	Договорная	1–3 года	В команду скоринга Beeline Business ищем Data Scientist способного не только решать поставленные задачи, но и привносить в продукт новые идеи. В нашей команде вы будете работать под руководством ментора, получать четко сформулированные задачи и почти безграничные возможности для реализации своего таланта, а вместе с ними профессиональный и карьерный рост.   Итак, тебе предстоит:   Мы будем рады рассмотреть твою кандидатуру, если у тебя есть: Будет супер, если при тебе также имеются: ·	Полная занятость	удаленная работа	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Python</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">SQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Spark</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">ML</span></div></div>"	https://rabota1000.ru/vacancy/108625213
Data scientist (кредитный скоринг)	билайн	Санкт-Петербург	Договорная	1–3 года	В команду скоринга Beeline Business ищем Data Scientist способного не только решать поставленные задачи, но и привносить в продукт новые идеи. В нашей команде вы будете работать под руководством ментора, получать четко сформулированные задачи и почти безграничные возможности для реализации своего таланта, а вместе с ними профессиональный и карьерный рост. Итак, тебе предстоит: Мы будем рады рассмотреть твою кандидатуру, если у тебя есть:??????? Будет супер, если при тебе также имеются: ·	Полная занятость	полный день	Не указано	https://rabota1000.ru/vacancy/113212722
Senior Data Scientist	Центр Орбита	Москва	Договорная	3–6 лет	"ГК ОрбитаМы масштабная технологическая группа компаний.Наша цель — цифровизировать гигантов рынка, для этого у нас есть все: крутая команда и продукты!Любишь сложные задачи? Тогда тебе к нам!Уже 5 лет работаем в направлениях: Business travel, HR Tech, Fin Tech, Product integration. Мы в поисках Senior Data Scientist для наших партнеров - Крупной страховой компании.   Задачи: Полный цикл построения ML моделей:   Хорошие знания SQL (MS SQL и/или Oracle); Python; Работа с линейными и нелинейными моделями; Опыт с автоматизированными пайплайнами для построения моделей, MLOps; Инженерное или техническое образование.   Интересные проекты на современном технологичном стеке, собственная платформа для автоматизации разработки и многое другое!"	Полная занятость	полный день	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Python</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">SQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Machine Learning</span></div></div>"	https://rabota1000.ru/vacancy/105985490
Data Scientist / ML Engineer	WILDBERRIES	Москва	Договорная	3–6 лет	Мы ищем Data Scientist в команду Портала Продавцов для разработки алгоритмов расчета рейтингов поставщиков. Вам предстоит: Мы ждем, что вы: Мы предлагаем:  	Полная занятость	полный день	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Python</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">classic ML</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Data Science</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">SQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Airflow</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">MLflow</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Deep Learning</span></div></div>"	https://rabota1000.ru/vacancy/107986402
Data scientist	Skillbox (ООО СИСТЕМА КЭСПА)	Москва	Договорная	1–3 года	"Школа английского языка Skillbox — в прошлом проект «КЭСПА», который недавно был интегрирован в состав платформы Skillbox. Обучение в школе строится по особой речевой технологии для русскоговорящих, разработанной филологом Инной Гивенталь. Методика используется и совершенствуется уже 20 лет. За это время более 11 000 человек смогли свободно заговорить по-английски. Наша работа строится на уверенности, что каждый носитель русского языка может без проблем научиться общаться на английском. Мы помогаем людям перестать учить язык и наконец его выучить. Если вам интересно, как мы это делаем и вам близки наши идеи, присоединяйтесь к команде! Мы растём. Так быстро, что иногда сами удивляемся. И прямо сейчас мы находимся в поиске Data scientist аналитика (junior). Задачи: Построение новых и поддержка существующих аналитических отчетов в Looker Studio на базе запросов к PostgreSQL и Google BigQuery; Написание ETL-процедур на SQL по переносу и очистке данных из разных источников в Google BigQuery (из web-аналитики, amoCRM, PostgreSQL и т.д.); Взаимодействие с пользователями внутренней аналитики компании (отделами маркетинга, продаж, HR, руководством и т.п.) для выявления реальных потребностей и корректной постановки задач по вопросам аналитики. В том числе написание Adhoc SQL-запросов для выборки данных (проверка гипотез, информация по конкретным событиям и клиентам и т.п.), поддержка и расчет результатов А/B тестирования; Ведение документации в Confluence (описание отчетов, метрик, схем и т.п.), работа в Jira по спринтам. В перспективе - ML и предиктивная аналитика. Требования: Хорошее знание SQL;  Умение и желание разговаривать с людьми, чтобы выявлять их потребности; Умение делать отчеты и графики в инструментах BI (Looker Studio или Power BI или Tableau); Опыт работа с BigQuery, Python, нейросетями и ML будет плюсом как задел на будущее. Условия: Полностью удаленная работа из любой точки мира; Гибкий график; Бесплатный доступ к курсам Skillbox после испытательного срока; Скидка на изучение английского языка."	Полная занятость	удаленная работа	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">SQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">PostgreSQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">amoCRM</span></div></div>"	https://rabota1000.ru/vacancy/115232021
Senior Data Scientist/ML Engineer (команда SmartSearch)	СБЕР	Москва	Договорная	3–6 лет	"SberDevices - инновационное направление компании, которое создает умные устройства, виртуальные ассистенты и другие продукты в области NLP, gamedev, computer vision.Команда Поиска ищет Senior Data Scientist/ML Engineer. Мы создаем поисковый движок, который работает со множеством различных данных. Например, у нас есть поиски по видео, музыке и другим доменам. Мы работаем с самыми современными технологиями, используем Hadoop, применяем разнообразные методы машинного обучения, улучшаем множество продуктов экосистемы Сбера, помогая пользователям найти то, что они хотели.Если ты всегда хотел работать на стыке науки и технологии, и готов не просто решать технически сложные задачи, но и глубоко погрузиться в тематику машинного обучения, начиная от внедрения уже обученных моделей и заканчивая самостоятельной реализацией новых алгоритмов из последних статей, то ты наш идеальный кандидат :)Что предстоит делать: Что ожидаем от кандидата: Будет плюсом: Почему вам понравится работать с нами? 
  							цифровых людей
  						 
  							внедрений в год,изменения каждые 30 сек 
 
объем хранимыхданных
  						 
  							транзакцийв секунду
  						 
  							доступк суперкомпьютеру
  						"	Полная занятость	полный день	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Python</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">NLP</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Deep Learning</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Linux</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Docker</span></div></div>"	https://rabota1000.ru/vacancy/454188
Data Scientist/Эксперт по валидации моделей	РОСБАНК	Москва	Договорная	3–6 лет	В команду валидации моделей и рейтинговых систем ищем Data Scientist/Эксперта по валидации моделей с сильной математической базой и отличным знанием статистики и методов Machine Learning. Для нас важно, чтобы наш будущий коллега умел сохранять спокойствие и объективно аргументировать свою точку зрения перед внешними и внутренними контрагентами. Про банк: Росбанк – частный универсальный банк, работающий на российском рынке с 1993 года. Росбанк обслуживает порядка 1,5 млн активных розничных клиентов, около 83 тысяч активных клиентов малого бизнеса и около 10 тысяч активных клиентов корпоративного бизнеса более чем в 60 регионах России. Росбанк входит в ТОП 5 самых надежных российских банков по версии журнала Forbes и включен Банком России в число 13 системно-значимых кредитных организаций России. Наш банк имеет наивысшие кредитные рейтинги российских и международных рейтинговых агентств. Про команду: Наша команда занимается анализом практически всех моделей банка для проверки их качества, поиска и выявлением областей риска этих моделей, информирует и консультирует по результатам владельцев моделей и CRO. У нас большое разнообразие моделей для анализа, возможности участия в крупном проекте по выстраиванию жизненного цикла моделей в банке. Сейчас в нашей команде 5 сотрудников – все занимаются валидацией моделей, ищем коллегу для расширения команды. Наша цель – улучшать качество моделей банка, автоматизировать рутинные задачи, уменьшать модельный риск. ПРИСОЕДИНИВШИСЬ К НАМ ВЫ БУДЕТЕ: МЫ ЖДЕМ ОТ ВАС: СО СВОЕЙ СТОРОНЫ МЫ ПРЕДЛАГАЕМ:	Полная занятость	удаленная работа	"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Machine Learning</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Валидация моделей</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Python</span></div></div>"	https://rabota1000.ru/vacancy/95385363
Data Scientist (Прогнозирование)	Спортмастер	Москва	Договорная	1–3 года	"В нашу команду профессионалов ищем middle/senior Data Scientist в Департамент управления данными на направление ""Прогнозирование"".  Наша команда разрабатывает аналитические алгоритмы предсказания продаж и других ключевых метрик, встраивание в оперативные системы. Чем вам предстоит заниматься: Создавать модели прогнозирования различных бизнес показателей для систем пополнения магазинов, планирования вывода персонала и бюджетирования; Исследовать данные с целью поиска новых признаков; Разрабатывать требования для сбора данных, дизайн A/B тестов; Поддерживать и развивать уже созданные модели прогнозирования; Стек технологий: Для разработки используем: Python+ ML packages, Spark, Oracle SQL, Hadoop, AirFlow, Docker. Для организации работы: Jira, Confluence, Miro, Git. Мы ждём от наших будущих коллег: Опыт создания многофакторных моделей прогнозирования временных рядов; Опыт использования и внедрения алгоритмов машинного обучения; Знание базовых алгоритмов и структур данных, понимание плюсов и минусов; Уверенное знание математической статистики, умение применять для решения задач; Уверенное знание SQL и готовность писать эффективные запросы; Уверенное владение Python (библиотеки работы с данными); Технический английский на уровне чтения статей и участия в конференциях. Атмосфера: Став частью Sportmaster Lab, вы получите:"	Полная занятость	удаленная работа	Не указано	https://rabota1000.ru/vacancy/60173299
